Window Time,PMU ID,Event Type,Severity,Confidence Level,Bad Data Flag,Bus ID
02:03.3,7.883552735,-31.14161871,0.27405469,-32.37111871,0,7.883552735
02:03.7,7.88617015,-31.13791871,0.27405469,-32.31911871,0,7.88617015
02:04.0,7.888088255,-31.13371871,0.27405469,-32.36511871,0,7.888088255
02:04.3,7.888847505,-31.13251871,0.27422139,-32.41441871,0,7.888847505
02:04.7,7.888867485,-31.13041871,0.27422139,-32.37591871,0,7.888867485
02:05.0,7.88846788,-31.13041871,0.27422139,-32.39631871,0,7.88846788
02:05.3,7.886809518,-31.13241871,0.27405469,-32.39771871,0,7.886809518
02:05.7,7.884491808,-31.13371871,0.27405469,-32.35761871,0,7.884491808
02:06.0,7.882353919,-31.13621871,0.27405469,-32.32461871,0,7.882353919
02:06.3,7.880096149,-31.13881871,0.27405469,-32.29231871,0,7.880096149
02:06.7,7.878038182,-31.14141871,0.27405469,-32.32561871,0,7.878038182
02:07.0,7.876559643,-31.14501871,0.27405469,-32.36871871,0,7.876559643
02:07.3,7.875980215,-31.14491871,0.27438809,-32.36641871,0,7.875980215
02:07.7,7.875880314,-31.14541871,0.27438809,-32.38621871,0,7.875880314
02:08.0,7.876080116,-31.14761871,0.27422139,-32.37831871,0,7.876080116
02:08.3,7.877278932,-31.14741871,0.27438809,-32.36121871,0,7.877278932
02:08.7,7.878757472,-31.14711871,0.27438809,-32.37631871,0,7.878757472
02:09.0,7.880196051,-31.14471871,0.27422139,-32.33791871,0,7.880196051
02:09.3,7.881734531,-31.14241871,0.27405469,-32.32621871,0,7.881734531
02:09.7,7.883073209,-31.14211871,0.27422139,-32.31941871,0,7.883073209
02:10.0,7.884152143,-31.14011871,0.27438809,-32.31921871,0,7.884152143
02:10.3,7.88471159,-31.13811871,0.27455479,-32.35131871,0,7.88471159
02:10.7,7.884931373,-31.13571871,0.27438809,-32.33261871,0,7.884931373
02:11.0,7.884831472,-31.13381871,0.27438809,-32.32631871,0,7.884831472
02:11.3,7.88393236,-31.13531871,0.27438809,-32.34751871,0,7.88393236
02:11.7,7.882593682,-31.13501871,0.27438809,-32.28981871,0,7.882593682
02:12.0,7.881434827,-31.13551871,0.27438809,-32.30271871,0,7.881434827
02:12.3,7.879916327,-31.13881871,0.27438809,-32.38341871,0,7.879916327
02:12.7,7.878797432,-31.13951871,0.27455479,-32.40301871,0,7.878797432
02:13.0,7.877918301,-31.13951871,0.27438809,-32.39751871,0,7.877918301
02:13.3,7.877179031,-31.13991871,0.27405469,-32.35691871,0,7.877179031
02:13.7,7.877318893,-31.14241871,0.27405469,-32.34841871,0,7.877318893
02:14.0,7.877798419,-31.14591871,0.27422139,-32.35551871,0,7.877798419
02:14.3,7.878517709,-31.14501871,0.27422139,-32.33461871,0,7.878517709
02:14.7,7.87939684,-31.14311871,0.27422139,-32.34441871,0,7.87939684
02:15.0,7.880096149,-31.14181871,0.27438809,-32.31511871,0,7.880096149
02:15.3,7.881055202,-31.14111871,0.27455479,-32.26751871,0,7.881055202
02:15.7,7.881874393,-31.14291871,0.27438809,-32.27301871,0,7.881874393
02:16.0,7.88241386,-31.14151871,0.27438809,-32.34381871,0,7.88241386
02:16.3,7.882913367,-31.14021871,0.27422139,-32.40831871,0,7.882913367
02:16.7,7.882973307,-31.14091871,0.27405469,-32.37631871,0,7.882973307
02:17.0,7.882553722,-31.13881871,0.27422139,-32.30041871,0,7.882553722
02:17.3,7.881974294,-31.13801871,0.27438809,-32.31241871,0,7.881974294
02:17.7,7.881135123,-31.13911871,0.27405469,-32.31261871,0,7.881135123
02:18.0,7.880495755,-31.13801871,0.27422139,-32.30451871,0,7.880495755
02:18.3,7.879696544,-31.13871871,0.27438809,-32.31271871,0,7.879696544
02:18.7,7.879157077,-31.13881871,0.27438809,-32.28421871,0,7.879157077
02:19.0,7.878997235,-31.13911871,0.27438809,-32.33131871,0,7.878997235
02:19.3,7.878677551,-31.14251871,0.27422139,-32.37821871,0,7.878677551
02:19.6,7.878357867,-31.14281871,0.27438809,-32.32991871,0,7.878357867
02:20.0,7.878237985,-31.14171871,0.27438809,-32.31141871,0,7.878237985
02:20.3,7.87859763,-31.14061871,0.27422139,-32.31961871,0,7.87859763
02:20.6,7.879416821,-31.14011871,0.27422139,-32.35081871,0,7.879416821
02:21.0,7.879796446,-31.14171871,0.27422139,-32.37101871,0,7.879796446
02:21.3,7.879976268,-31.13991871,0.27422139,-32.31151871,0,7.879976268
02:21.6,7.880715538,-31.13921871,0.27438809,-32.30701871,0,7.880715538
02:22.0,7.881075182,-31.13981871,0.27405469,-32.33401871,0,7.881075182
02:22.3,7.881135123,-31.13921871,0.27405469,-32.38061871,0,7.881135123
02:22.6,7.881394867,-31.13941871,0.27438809,-32.42031871,0,7.881394867
02:23.0,7.881235025,-31.13891871,0.27438809,-32.35281871,0,7.881235025
02:23.3,7.88087538,-31.13721871,0.27438809,-32.30911871,0,7.88087538
02:23.6,7.880295952,-31.13651871,0.27438809,-32.30661871,0,7.880295952
02:24.0,7.879836406,-31.13431871,0.27422139,-32.32161871,0,7.879836406
02:24.3,7.879656584,-31.13461871,0.27422139,-32.35861871,0,7.879656584
02:24.6,7.87935688,-31.13691871,0.27422139,-32.32981871,0,7.87935688
02:25.0,7.879137097,-31.13431871,0.27422139,-32.29961871,0,7.879137097
02:25.3,7.879057176,-31.13211871,0.27438809,-32.34661871,0,7.879057176
02:25.6,7.878697531,-31.13141871,0.27438809,-32.35011871,0,7.878697531
02:26.0,7.878537689,-31.13181871,0.27422139,-32.33221871,0,7.878537689
02:26.3,7.878837393,-31.13311871,0.27422139,-32.32331871,0,7.878837393
02:26.6,7.879177057,-31.13201871,0.27438809,-32.33791871,0,7.879177057
02:27.0,7.879256978,-31.13151871,0.27455479,-32.38491871,0,7.879256978
02:27.3,7.879336899,-31.13471871,0.27422139,-32.36771871,0,7.879336899
02:27.6,7.879876367,-31.13651871,0.27422139,-32.27991871,0,7.879876367
02:28.0,7.88015609,-31.13931871,0.27422139,-32.30571871,0,7.88015609
02:28.3,7.879756485,-31.14451871,0.27422139,-32.33111871,0,7.879756485
02:28.6,7.879776465,-31.12301871,0.27438809,-32.30381871,0,7.879776465
02:29.0,7.879996248,-31.12401871,0.27422139,-32.30491871,0,7.879996248
02:29.3,7.88015609,-31.12481871,0.27422139,-32.32051871,0,7.88015609
02:29.6,7.88015609,-31.12771871,0.27438809,-32.34681871,0,7.88015609
02:30.0,7.879816426,-31.12931871,0.27438809,-32.28351871,0,7.879816426
02:30.3,7.879696544,-31.12911871,0.27438809,-32.26791871,0,7.879696544
02:30.6,7.879017215,-31.13031871,0.27422139,-32.33971871,0,7.879017215
02:31.0,7.878437788,-31.12961871,0.27405469,-32.36921871,0,7.878437788
02:31.3,7.878757472,-31.12831871,0.27438809,-32.37961871,0,7.878757472
02:31.6,7.878837393,-31.12901871,0.27438809,-32.36631871,0,7.878837393
02:32.0,7.878657571,-31.12711871,0.27438809,-32.28831871,0,7.878657571
02:32.3,7.878997235,-31.12711871,0.27422139,-32.31501871,0,7.878997235
02:32.6,7.879177057,-31.12921871,0.27405469,-32.35981871,0,7.879177057
02:33.0,7.879416821,-31.12831871,0.27438809,-32.34011871,0,7.879416821
02:33.3,7.879536702,-31.12641871,0.27438809,-32.31321871,0,7.879536702
02:33.6,7.87939684,-31.12401871,0.27438809,-32.29131871,0,7.87939684
02:34.0,7.879616623,-31.12341871,0.27455479,-32.30821871,0,7.879616623
02:34.3,7.879776465,-31.12371871,0.27438809,-32.30421871,0,7.879776465
02:34.6,7.879616623,-31.12161871,0.27422139,-32.25671871,0,7.879616623
02:35.0,7.879636603,-31.12201871,0.27422139,-32.32721871,0,7.879636603
02:35.3,7.879316919,-31.12471871,0.27405469,-32.35611871,0,7.879316919
02:35.6,7.879037196,-31.12421871,0.27438809,-32.31711871,0,7.879037196
02:36.0,7.879256978,-31.12301871,0.27455479,-32.34511871,0,7.879256978
02:36.3,7.879316919,-31.12191871,0.27438809,-32.33171871,0,7.879316919
02:36.6,7.879197038,-31.12271871,0.27438809,-32.34411871,0,7.879197038
02:37.0,7.878897334,-31.12481871,0.27438809,-32.32171871,0,7.878897334
02:37.3,7.878577649,-31.12411871,0.27438809,-32.26281871,0,7.878577649
02:37.6,7.87861761,-31.12161871,0.27455479,-32.31591871,0,7.87861761
02:38.0,7.878697531,-31.12171871,0.27422139,-32.31721871,0,7.878697531
02:38.3,7.878977255,-31.12211871,0.27422139,-32.29391871,0,7.878977255
02:38.6,7.879097136,-31.12371871,0.27438809,-32.33851871,0,7.879097136
02:39.0,7.878917314,-31.12511871,0.27422139,-32.30751871,0,7.878917314
02:39.3,7.879217018,-31.12371871,0.27405469,-32.30271871,0,7.879217018
02:39.6,7.879296939,-31.12441871,0.27405469,-32.37291871,0,7.879296939
02:40.0,7.879256978,-31.12551871,0.27422139,-32.36041871,0,7.879256978
02:40.3,7.879436801,-31.12641871,0.27438809,-32.31891871,0,7.879436801
02:40.6,7.879276959,-31.12721871,0.27405469,-32.33371871,0,7.879276959
02:41.0,7.879057176,-31.12681871,0.27422139,-32.36731871,0,7.879057176
02:41.3,7.878977255,-31.12711871,0.27438809,-32.42571871,0,7.878977255
02:41.6,7.879037196,-31.12791871,0.27422139,-32.38621871,0,7.879037196
02:42.0,7.879276959,-31.12821871,0.27438809,-32.30141871,0,7.879276959
02:42.3,7.879276959,-31.12801871,0.27455479,-32.27391871,0,7.879276959
02:42.6,7.878997235,-31.12581871,0.27438809,-32.27991871,0,7.878997235
02:43.0,7.878957274,-31.12581871,0.27438809,-32.34641871,0,7.878957274
02:43.3,7.878777452,-31.12841871,0.27438809,-32.38501871,0,7.878777452
02:43.6,7.878577649,-31.12871871,0.27455479,-32.38681871,0,7.878577649
02:44.0,7.87861761,-31.12761871,0.27438809,-32.36021871,0,7.87861761
02:44.3,7.878837393,-31.12781871,0.27422139,-32.30021871,0,7.878837393
02:44.6,7.879117117,-31.12911871,0.27438809,-32.31751871,0,7.879117117
02:45.0,7.879037196,-31.12991871,0.27455479,-32.34291871,0,7.879037196
02:45.3,7.879117117,-31.12941871,0.27455479,-32.32081871,0,7.879117117
02:45.6,7.879256978,-31.12891871,0.27438809,-32.34301871,0,7.879256978
